,index,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
55,55,Keljin Blevins,SF,26,POR,3,0,4.7,0.7,1.3,.500,0.7,1.0,.667,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.0,2.0
56,56,Bogdan Bogdanović,SG,29,ATL,27,25,28.9,4.6,10.9,.418,2.3,6.3,.361,2.3,4.6,.496,.522,0.9,1.1,.742,0.3,3.5,3.8,2.5,0.7,0.2,1.0,1.8,12.2
57,57,Bojan Bogdanović,PF,32,UTA,41,41,30.6,6.1,12.8,.476,2.6,6.4,.407,3.5,6.4,.546,.578,3.1,3.6,.859,0.8,3.4,4.1,1.6,0.5,0.0,1.7,1.6,17.9
58,58,Bol Bol,PF,22,DEN,14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
59,59,Leandro Bolmaro,SF,21,MIN,23,2,8.0,0.4,1.4,.281,0.1,0.5,.167,0.3,0.9,.350,.313,0.3,0.4,.889,0.7,0.9,1.5,0.5,0.2,0.0,0.5,0.9,1.2
60,60,Isaac Bonga,SF,22,TOR,12,0,5.3,0.3,1.1,.231,0.1,0.3,.250,0.2,0.8,.222,.269,0.3,0.5,.667,0.3,0.3,0.6,0.3,0.6,0.2,0.2,0.8,0.9
61,61,Devin Booker,SG,25,PHO,33,33,32.8,8.3,19.1,.437,2.6,6.4,.406,5.7,12.6,.453,.506,4.1,4.7,.871,0.8,4.5,5.4,4.4,1.0,0.3,2.7,2.5,23.4
62,62,Brandon Boston Jr.,SG,20,LAC,25,0,15.8,2.4,6.6,.360,0.6,2.3,.276,1.7,4.2,.406,.409,1.4,1.6,.850,0.3,1.9,2.2,0.8,0.6,0.2,0.7,0.7,6.7
63,63,Chris Boucher,PF,29,TOR,36,7,18.3,3.1,6.9,.440,0.6,2.8,.228,2.4,4.1,.584,.486,1.8,2.3,.750,2.0,3.5,5.5,0.4,0.6,1.0,0.7,1.9,8.5
64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
