,index,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
116,116,Nic Claxton,C,22,BRK,20,14,22.2,4.0,6.1,.656,0.0,0.0,,4.0,6.1,.656,.656,1.2,2.0,.615,1.9,3.6,5.5,1.0,0.6,1.2,0.8,2.5,9.2
117,117,Amir Coffey,SG,24,LAC,29,7,18.4,1.9,4.3,.448,1.0,2.7,.385,0.9,1.6,.553,.568,1.3,1.6,.867,0.3,2.4,2.8,1.3,0.4,0.2,0.3,1.1,6.2
118,118,John Collins,PF,24,ATL,35,35,32.6,6.5,12.0,.544,1.3,3.1,.439,5.2,9.0,.580,.600,3.0,3.8,.789,1.9,6.1,8.0,2.0,0.7,1.1,1.2,3.0,17.4
119,119,Darren Collison,PG,34,LAL,3,0,12.3,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.0,0.0,,0.0,1.3,1.3,0.7,0.3,0.0,0.3,1.7,1.3
120,120,Mike Conley,PG,34,UTA,37,37,28.4,4.9,10.7,.461,2.4,5.6,.426,2.5,5.1,.500,.573,1.6,2.0,.800,0.6,2.4,3.0,5.3,1.1,0.3,1.5,1.8,13.9
121,121,Pat Connaughton,SG,29,MIL,40,15,28.1,3.9,8.3,.471,2.4,6.0,.395,1.6,2.3,.667,.613,0.7,0.8,.788,0.7,3.9,4.6,1.4,1.0,0.3,0.7,1.3,10.8
122,122,Tyler Cook,PF,24,CHI,9,0,10.4,1.4,2.2,.650,0.0,0.0,,1.4,2.2,.650,.650,1.6,1.8,.875,0.7,1.7,2.3,0.3,0.3,0.1,0.4,1.6,4.4
123,123,Sharife Cooper,PG,20,ATL,10,0,3.5,0.3,1.4,.214,0.1,0.6,.167,0.2,0.8,.250,.250,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.1,0.7
124,124,Petr Cornelie,PF,26,DEN,13,0,2.9,0.4,1.2,.333,0.1,0.6,.125,0.3,0.5,.571,.367,0.2,0.3,.750,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1
125,125,DeMarcus Cousins,C,31,MIL,17,5,16.9,3.2,6.9,.466,0.8,2.8,.271,2.5,4.1,.600,.521,1.8,2.2,.816,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1
126,126,Robert Covington,PF,31,POR,37,29,28.2,2.7,6.6,.407,1.7,4.7,.354,1.0,1.8,.544,.535,0.4,0.4,1.000,0.7,4.5,5.2,1.2,1.4,1.3,1.1,2.5,7.4
127,127,Torrey Craig,SF,31,IND,37,1,17.0,2.2,4.5,.485,0.6,2.1,.308,1.5,2.4,.640,.557,0.6,0.8,.828,1.2,2.2,3.4,1.1,0.4,0.3,0.6,1.6,5.7
128,128,Jae Crowder,PF,31,PHO,34,34,28.3,3.3,8.1,.404,1.9,5.5,.344,1.4,2.6,.528,.520,1.0,1.2,.786,0.4,4.3,4.6,1.4,1.2,0.5,0.9,2.3,9.4
129,129,Jarrett Culver,SG,22,MEM,17,0,10.6,1.8,4.1,.435,0.3,1.3,.227,1.5,2.8,.532,.471,0.4,0.8,.500,0.3,1.4,1.7,1.1,0.5,0.1,0.2,0.9,4.2
130,130,Jarron Cumberland,SG,24,POR,3,0,4.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.7,0.7
131,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,Cade Cunningham,PG,20,DET,31,31,32.4,5.7,14.8,.386,2.2,6.9,.322,3.5,7.9,.441,.461,1.8,2.1,.846,0.9,4.8,5.7,5.4,1.3,0.6,3.8,2.9,15.4
133,133,Seth Curry,SG,31,PHI,36,36,34.8,6.1,11.9,.515,2.2,5.4,.412,3.9,6.5,.601,.609,1.7,2.0,.873,0.4,2.9,3.3,3.9,0.8,0.1,1.9,2.3,16.2
134,134,Stephen Curry,PG,33,GSW,37,37,34.9,8.6,20.6,.420,5.0,13.1,.384,3.6,7.5,.484,.543,4.5,4.9,.918,0.6,4.8,5.5,6.1,1.4,0.5,3.4,2.1,26.8
135,135,Anthony Davis,C,28,LAL,27,27,35.4,9.3,17.9,.521,0.4,2.1,.179,8.9,15.8,.566,.531,4.3,6.0,.727,2.7,7.1,9.9,2.9,1.2,2.0,2.2,2.3,23.3
136,136,Ed Davis,C,32,CLE,12,2,9.3,0.8,1.0,.750,0.0,0.0,,0.8,1.0,.750,.750,0.1,0.5,.167,0.4,2.7,3.1,0.1,0.3,0.6,0.3,1.4,1.6
137,137,Terence Davis,SG,24,SAC,25,7,16.2,3.2,8.0,.402,1.3,4.4,.297,1.9,3.5,.534,.485,0.9,1.1,.821,0.3,2.6,2.9,1.1,0.7,0.4,1.1,2.2,8.6
138,138,Gabriel Deck,PF,26,OKC,7,0,8.0,1.1,2.0,.571,0.3,0.6,.500,0.9,1.4,.600,.643,0.0,0.0,,0.1,0.7,0.9,0.7,0.1,0.0,0.3,0.3,2.6
139,139,Dewayne Dedmon,C,32,MIA,34,15,17.2,2.5,4.4,.581,0.4,0.6,.600,2.2,3.8,.578,.622,1.0,1.4,.761,1.8,4.4,6.1,0.9,0.4,0.5,0.9,2.2,6.4
140,140,Sam Dekker,PF,27,TOR,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,141,Javin DeLaurier,C,23,MIL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
142,142,DeMar DeRozan,PF,32,CHI,36,36,34.8,9.4,19.1,.492,0.7,2.0,.352,8.7,17.1,.508,.510,6.5,7.7,.848,0.8,4.4,5.2,4.7,0.8,0.3,2.1,2.3,26.0
143,143,Cheick Diallo,C,25,DET,3,0,10.3,1.0,2.7,.375,0.0,0.0,,1.0,2.7,.375,.375,1.7,2.0,.833,1.3,2.7,4.0,0.0,0.3,0.0,0.3,2.0,3.7
144,144,Hamidou Diallo,SG,23,DET,33,16,21.9,4.4,8.5,.518,0.4,1.5,.275,4.0,7.0,.571,.543,1.3,2.1,.609,1.0,3.5,4.5,1.4,1.3,0.4,1.1,2.4,10.5
145,145,Gorgui Dieng,C,32,ATL,29,1,9.6,1.2,2.7,.462,0.6,1.4,.405,0.7,1.2,.528,.571,0.6,0.7,.762,0.9,2.3,3.2,0.9,0.3,0.3,0.6,1.3,3.6
146,146,Spencer Dinwiddie,PG,28,WAS,33,33,30.3,4.6,11.5,.397,1.6,5.1,.321,2.9,6.4,.458,.468,2.7,3.4,.796,0.8,3.9,4.7,5.7,0.6,0.2,1.6,2.5,13.5
147,147,Donte DiVincenzo,SG,25,MIL,4,0,16.5,1.0,6.3,.160,1.0,4.3,.235,0.0,2.0,.000,.240,3.0,3.3,.923,1.8,3.5,5.3,0.5,0.3,0.0,1.5,1.3,6.0
148,148,Luka Dončić,PG,22,DAL,26,26,34.8,9.1,20.9,.435,2.5,8.1,.310,6.6,12.8,.514,.494,4.0,5.6,.719,0.7,7.7,8.3,8.8,1.2,0.4,4.7,2.4,24.7
