Name,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,to/g,ft%,fg%,fta/g,fga/g,FT%!,FG%!,3PM_z,PPG_z,RPG_z,APG_z,SPG_z,BPG_z,TPG_z,FT%_z,FG%_z,z_sums
Nikola Jokic,DEN,PF/C,72,34.556481481481484,26.36111111111111,1.2777777777777777,10.833333333333334,8.319444444444445,1.3194444444444444,0.6805555555555556,3.0833333333333335,0.868020304568528,0.5661252900232019,5.472222222222222,17.958333333333332,0.3751717395899388,1.5663674818566373,-0.39259706990132165,1.8132856485711322,2.1733498739476014,2.2478270898193653,1.057252143098333,0.05858781953149988,-1.5656144872441589,1.8017528634895106,3.3676806104901322,10.561524491802095
Stephen Curry,GSW,PG/SG,63,34.155291005291005,31.984126984126984,5.349206349206349,5.492063492063492,5.761904761904762,1.2063492063492063,0.12698412698412698,3.380952380952381,0.9164556962025316,0.48205128205128206,6.26984126984127,21.666666666666668,0.7335381626757655,0.06821340940682152,3.5984947312613222,2.7384069755851415,-0.03390126055135099,1.0955975194963272,0.7277239508213583,-1.0570795884949424,-1.9013476839232684,3.3262086882249937,0.41220176405739367,8.906305096476974
Kyrie Irving,BKN,PG/SG,54,34.92993827160493,26.87037037037037,2.814814814814815,4.7592592592592595,6.0,1.4074074074074074,0.6851851851851852,2.388888888888889,0.9220183486238532,0.505524861878453,4.037037037037037,20.11111111111111,0.4947685478757134,0.5353958085035393,1.1141114008429904,1.897071042807875,-0.3367286821740402,1.2028648185178668,1.313551848202647,0.06791837133100422,-0.7822370283262362,2.3105060258005827,1.3338344074197792,8.120892204422468
Joel Embiid,PHI,PF/C,51,31.083006535947703,28.45098039215686,1.1372549019607843,10.549019607843137,2.843137254901961,1.0,1.3529411764705883,3.1176470588235294,0.8594890510948905,0.5127919911012235,10.745098039215685,17.627450980392158,0.6450072736767497,0.5973770432891486,-0.5303471710537073,2.1571194001073692,2.055858750714504,-0.2193733696853701,0.12647952982477323,1.4137132544124473,-1.6043225499201033,2.9496069177760984,1.4561076980334093,7.804842460209421
Kevin Durant,BKN,SF/PF,35,33.048095238095236,26.942857142857143,2.4285714285714284,7.057142857142857,5.542857142857143,0.7142857142857143,1.2857142857142858,3.4285714285714284,0.8823529411764706,0.5373134328358209,6.8,17.228571428571428,0.5636651870640452,1.0063288165349185,0.7354893066456244,1.9089968599615725,0.6128593987698872,0.9969116043965107,-0.7060127454012679,1.2782242333238472,-1.9550649953919257,2.6035856118035308,2.2628660530419973,7.737855327149776
Kawhi Leonard,LAC,SG/SF,52,34.08814102564102,24.846153846153847,1.9423076923076923,6.480769230769231,5.173076923076923,1.5576923076923077,0.40384615384615385,2.019230769230769,0.8847457627118644,0.512114537444934,5.673076923076923,17.46153846153846,0.4838270084386128,0.5799250475022238,0.2588204478023129,1.564038748513018,0.3746760868393283,0.8303172376853659,1.7514404131986805,-0.4990920841773338,-0.3652391809637728,2.2639617837847337,1.4216793269300645,7.600602779612397
Jimmy Butler,MIA,SF/PF,52,33.55128205128205,21.46153846153846,0.4807692307692308,6.923076923076923,7.096153846153846,2.076923076923077,0.34615384615384615,2.0961538461538463,0.8629807692307693,0.4966078697421981,8.0,14.173076923076923,0.5081581386273841,0.2509328939443243,-1.173879173127867,1.0071881283549735,0.5574573700653531,1.6967069605516472,3.2643350287536985,-0.6153651142942335,-0.4520132994900659,2.3674640394349136,0.7726610661494838,7.4245550063979024
James Harden,BKN,PG/SG,44,36.563636363636355,24.613636363636363,2.75,7.931818181818182,10.795454545454545,1.2045454545454546,0.75,4.0227272727272725,0.8606811145510835,0.4659400544959128,7.340909090909091,16.681818181818183,0.44941128148959414,-0.2162450136898064,1.0505755014742544,1.5257840313224085,0.9743142887270774,3.3633257365380573,0.7224683177706892,0.19854609652406427,-2.625310540762221,2.1175606367180833,-0.14896271669387387,7.178301351618539
Damian Lillard,POR,PG,67,35.78855721393035,28.746268656716417,4.104477611940299,4.223880597014926,7.537313432835821,0.9253731343283582,0.2537313432835821,3.029850746268657,0.9273858921161826,0.4512743628185907,7.1940298507462686,19.91044776119403,0.9202954788517779,-0.5500979568818759,2.3783267801799735,2.205701420384414,-0.5579710448973573,1.895459349215151,-0.09096248236113304,-0.8016333515959334,-1.5052827307065995,4.120656103261707,-0.8075700853004989,6.836723958179724
Khyri Thomas,HOU,SG,5,30.586666666666666,16.4,1.8,3.6,5.0,1.8,1.2,1.2,1.0,0.48484848484848486,1.8,13.2,0.3609701965757767,0.07848078480784826,0.11932074786963752,0.17444333730044415,-0.8157863578240852,0.7523421626274004,2.4574579004576886,1.1054757314358816,0.5589051813412471,1.7413408840921385,0.432456697354406,6.525956284654759
